Date,Price
2019-12-09,16.601
2019-12-10,16.6545
2019-12-11,16.8525
2019-12-12,16.9258
2019-12-13,16.9317
2019-12-16,17.0308
2019-12-17,17.0018
2019-12-18,17.0066
2019-12-19,17.0565
2019-12-20,17.1925
2019-12-23,17.4224
2019-12-24,17.785
2019-12-26,17.8863
2019-12-27,17.7537
2019-12-30,17.9159
2019-12-31,17.83
2020-01-01,17.83
2020-01-02,18.0131
2020-01-03,18.0343
2020-01-06,18.1424
2020-01-07,18.3874
2020-01-08,18.0831
2020-01-09,17.8985
2020-01-10,18.0917
2020-01-13,17.9638
2020-01-14,17.7887
2020-01-15,17.9905
2020-01-16,17.9406
2020-01-17,17.9982
2020-01-20,18.065
2020-01-21,17.7721
2020-01-22,17.818
2020-01-23,17.784
2020-01-24,18.082
2020-01-27,18.0838
2020-01-28,17.4342
2020-01-29,17.5401
2020-01-30,17.8249
2020-01-31,18.0313
2020-02-03,17.6566
2020-02-04,17.5781
2020-02-05,17.5946
2020-02-06,17.8077
2020-02-07,17.6735
2020-02-10,17.75
2020-02-11,17.632
2020-02-12,17.4633
2020-02-13,17.6274
2020-02-14,17.73
2020-02-17,17.765
2020-02-18,18.1613
2020-02-19,18.4
2020-02-20,18.352
2020-02-21,18.4628
2020-02-24,18.6224
2020-02-25,17.9856
2020-02-26,17.8823
2020-02-27,17.6975
2020-02-28,16.6615
2020-03-02,16.7281
2020-03-03,17.18
2020-03-04,17.18
2020-03-05,17.41
2020-03-06,17.313
2020-03-09,16.97
2020-03-10,16.86
2020-03-11,16.753
2020-03-12,15.82
2020-03-13,14.68
2020-03-16,12.9
2020-03-17,12.59
2020-03-18,11.98
2020-03-19,12.11
2020-03-20,12.58
2020-03-23,13.25
2020-03-24,14.27
2020-03-25,14.43
2020-03-26,14.385
2020-03-27,14.47
2020-03-30,14.115
2020-03-31,13.97
2020-04-01,14.0
2020-04-02,14.505
2020-04-03,14.39
2020-04-06,14.985
2020-04-07,15.003
2020-04-08,15.05
2020-04-09,15.45
2020-04-10,15.32
2020-04-13,15.45
2020-04-14,15.81
2020-04-15,15.475
2020-04-16,15.62
2020-04-17,15.13
2020-04-20,15.37
2020-04-21,14.925
2020-04-22,15.155
2020-04-23,15.3
2020-04-24,15.24
2020-04-27,15.275
2020-04-28,15.19
2020-04-29,15.36
2020-04-30,15.02
2020-05-01,14.94
2020-05-04,14.84
2020-05-05,15.02
2020-05-06,14.92
2020-05-07,15.5
2020-05-08,15.45
2020-05-11,15.55
2020-05-12,15.41
2020-05-13,15.64
2020-05-14,15.87
2020-05-15,16.62
2020-05-18,17.175
2020-05-19,17.4
2020-05-20,17.5
2020-05-21,17.06
2020-05-22,17.18
2020-05-25,17.2
2020-05-26,17.1
2020-05-27,17.3
2020-05-28,17.42
2020-05-29,17.84
2020-06-01,18.27
2020-06-02,18.09
2020-06-03,17.67
2020-06-04,17.72
2020-06-05,17.37
2020-06-08,17.86
2020-06-09,17.59
2020-06-10,18.25
2020-06-11,17.705
2020-06-12,17.44
2020-06-15,17.43
2020-06-16,17.395
2020-06-17,17.58
2020-06-18,17.505
2020-06-19,17.6
2020-06-22,17.82
2020-06-23,17.95
2020-06-24,17.52
2020-06-25,17.88
2020-06-26,17.75
2020-06-29,17.86
2020-06-30,18.13
2020-07-01,17.94
2020-07-02,17.9
2020-07-03,18.04
2020-07-06,18.21
2020-07-07,18.3
2020-07-08,18.77
2020-07-09,18.66
2020-07-10,18.67
2020-07-13,19.08
2020-07-14,19.2
2020-07-15,19.39
2020-07-16,19.17
2020-07-17,19.31
2020-07-20,19.9
2020-07-21,21.33
2020-07-22,23.03
2020-07-23,22.72
2020-07-24,22.74
2020-07-27,24.61
2020-07-28,24.57
2020-07-29,24.405
2020-07-30,23.545
2020-07-31,24.37
2020-08-03,24.25
2020-08-04,26.0
2020-08-05,27.02
2020-08-06,28.94
2020-08-07,28.29
2020-08-10,29.15
2020-08-11,24.79
2020-08-12,25.56
2020-08-13,27.555
2020-08-14,26.41
2020-08-17,27.4
2020-08-18,27.65
2020-08-19,26.72
2020-08-20,27.22
2020-08-21,26.6886
2020-08-24,26.54
2020-08-25,26.43
2020-08-26,27.52
2020-08-27,27.045
2020-08-28,27.49
2020-08-31,28.22
2020-09-01,28.165
2020-09-02,27.495
2020-09-03,26.625
2020-09-04,26.88
2020-09-07,27.0
2020-09-08,26.705
2020-09-09,27.025
2020-09-10,26.92
2020-09-11,26.74
2020-09-14,27.155
2020-09-15,27.235
2020-09-16,27.23
2020-09-17,27.1
2020-09-18,26.765
2020-09-21,24.73
2020-09-22,24.415
2020-09-23,22.87
2020-09-24,23.205
2020-09-25,22.86
2020-09-28,23.71
2020-09-29,24.175
2020-09-30,23.21
2020-10-01,23.89
2020-10-02,23.7
2020-10-05,24.35
2020-10-06,23.085
2020-10-07,23.84
2020-10-08,23.825
2020-10-09,25.12
2020-10-12,25.11
2020-10-13,24.17
2020-10-14,24.28
2020-10-15,24.31
2020-10-16,24.17
2020-10-19,24.5
2020-10-20,24.645
2020-10-21,25.07
2020-10-22,24.75
2020-10-23,24.58
2020-10-26,24.32
2020-10-27,24.55
2020-10-28,23.41
2020-10-29,23.275
2020-10-30,23.63
2020-11-02,24.0383
2020-11-03,24.1654
2020-11-04,23.91
2020-11-05,25.3275
2020-11-06,25.5929
2020-11-09,24.0698
2020-11-10,24.21
2020-11-11,24.2494
2020-11-12,24.23
2020-11-13,24.6296
2020-11-16,24.7515
2020-11-17,24.4678
2020-11-18,24.3126
2020-11-19,24.0895
2020-11-20,24.1444
2020-11-23,23.5759
2020-11-24,23.2524
2020-11-25,23.3
2020-11-26,23.45
2020-11-27,22.695
2020-11-30,22.6044
2020-12-01,24.0021
2020-12-02,24.1018
2020-12-03,24.0655
2020-12-04,24.1656
2020-12-07,24.505
2020-12-08,24.56
2020-12-09,23.9212
2020-12-10,23.9495
2020-12-11,23.9122
2020-12-14,23.8176
2020-12-15,24.4829
2020-12-16,25.3358
2020-12-17,26.05
2020-12-18,25.768
2020-12-21,26.1633
2020-12-22,25.1224
2020-12-23,25.53
2020-12-24,25.84
2020-12-25,25.85
2020-12-28,26.16
2020-12-29,26.1788
2020-12-30,26.61
2020-12-31,26.3584
2021-01-01,26.36
2021-01-04,27.211
2021-01-05,27.57
2021-01-06,27.3
2021-01-07,27.104
2021-01-08,25.37
2021-01-11,24.9209
2021-01-12,25.5748
2021-01-13,25.14
2021-01-14,25.5304
2021-01-15,24.7353
2021-01-18,25.33
2021-01-19,25.19
2021-01-20,25.8068
2021-01-21,25.9451
2021-01-22,25.4
2021-01-25,25.3
2021-01-26,25.4425
2021-01-27,25.24
2021-01-28,26.37
2021-01-29,27.0015
2021-02-01,28.97
2021-02-02,26.6117
2021-02-03,26.8642
2021-02-04,26.2924
2021-02-05,26.8282
2021-02-08,27.2524
2021-02-09,27.2
2021-02-10,26.993
2021-02-11,26.9472
2021-02-12,27.35
2021-02-15,27.59
2021-02-16,27.22
2021-02-17,27.3471
2021-02-18,27.0158
2021-02-19,27.2118
2021-02-22,28.157
2021-02-23,27.62
2021-02-24,27.98
2021-02-25,27.4
2021-02-26,26.62
2021-03-01,26.5128
2021-03-02,26.75
2021-03-03,26.08
2021-03-04,25.3075
2021-03-05,25.19
2021-03-08,25.09
2021-03-09,25.9
2021-03-10,26.1639
2021-03-11,26.0766
2021-03-12,25.9129
2021-03-15,26.26
2021-03-16,25.96
2021-03-17,26.335
2021-03-18,26.05
2021-03-19,26.245
2021-03-22,25.775
2021-03-23,25.08
